Advent of Code - Day 07
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay07/input.txt
[926] 'JJJJJ' bid: 219, type: FiveOfAKind
[317] '2AAAA' bid: 19, type: FourOfAKind
[716] '2Q222' bid: 104, type: FourOfAKind
[504] '2TTTT' bid: 265, type: FourOfAKind
[431] '23333' bid: 475, type: FourOfAKind
[964] '22A22' bid: 416, type: FourOfAKind
[399] '22922' bid: 755, type: FourOfAKind
[22] '22522' bid: 249, type: FourOfAKind
[523] '222K2' bid: 3, type: FourOfAKind
[473] '22228' bid: 492, type: FourOfAKind
[832] '22223' bid: 227, type: FourOfAKind
[742] 'AATTA' bid: 28, type: FullHouse
[578] 'AATTT' bid: 603, type: FullHouse
[802] 'AA33A' bid: 195, type: FullHouse
[701] 'AA22A' bid: 955, type: FullHouse
[301] 'A9AA9' bid: 676, type: FullHouse
[392] 'A8A8A' bid: 342, type: FullHouse
[375] 'A6A6A' bid: 125, type: FullHouse
[851] 'A6A66' bid: 569, type: FullHouse
[337] 'KKKAA' bid: 473, type: FullHouse
[268] 'KKK55' bid: 665, type: FullHouse
[677] 'KKK22' bid: 432, type: FullHouse
[135] 'KKTTT' bid: 832, type: FullHouse
[820] 'KK66K' bid: 189, type: FullHouse
[516] 'KQKQK' bid: 845, type: FullHouse
[103] 'KTKTK' bid: 810, type: FullHouse
[234] 'K8K8K' bid: 61, type: FullHouse
[724] 'K33K3' bid: 387, type: FullHouse
[51] 'K22K2' bid: 318, type: FullHouse
[515] 'QQJQJ' bid: 131, type: FullHouse
[173] 'QQ4Q4' bid: 857, type: FullHouse
[726] 'QQ33Q' bid: 778, type: FullHouse
[490] 'QQ22Q' bid: 91, type: FullHouse
[283] 'QTQQT' bid: 930, type: FullHouse
[722] 'JAJAA' bid: 407, type: FullHouse
[34] 'JAJAJ' bid: 562, type: FullHouse
[940] 'JJKKK' bid: 937, type: FullHouse
[448] 'J77JJ' bid: 30, type: FullHouse
[921] 'J777J' bid: 67, type: FullHouse
[710] 'J6JJ6' bid: 247, type: FullHouse
[976] 'J3JJ3' bid: 66, type: FullHouse
[629] 'TQQTT' bid: 518, type: FullHouse
[406] 'TJTTJ' bid: 609, type: FullHouse
[47] 'TT9T9' bid: 196, type: FullHouse
[37] 'T9T99' bid: 684, type: FullHouse
[300] 'T77T7' bid: 55, type: FullHouse
[735] 'T666T' bid: 52, type: FullHouse
[353] 'T4T4T' bid: 507, type: FullHouse
[12] 'T44T4' bid: 557, type: FullHouse
[927] '9A99A' bid: 720, type: FullHouse
[297] '9J99J' bid: 303, type: FullHouse
[430] '999KK' bid: 413, type: FullHouse
[70] '99669' bid: 336, type: FullHouse
[36] '99229' bid: 395, type: FullHouse
[555] '98889' bid: 834, type: FullHouse
[885] '95595' bid: 333, type: FullHouse
[796] '8Q8Q8' bid: 243, type: FullHouse
[714] '89998' bid: 321, type: FullHouse
[162] '88A8A' bid: 629, type: FullHouse
[287] '88QQQ' bid: 866, type: FullHouse
[889] '88J8J' bid: 297, type: FullHouse
[526] '88T8T' bid: 679, type: FullHouse
[94] '88877' bid: 322, type: FullHouse
[58] '87778' bid: 695, type: FullHouse
[105] '86688' bid: 623, type: FullHouse
[87] '7QQ77' bid: 177, type: FullHouse
[63] '77AAA' bid: 969, type: FullHouse
[290] '77979' bid: 524, type: FullHouse
[867] '76767' bid: 173, type: FullHouse
[683] '75577' bid: 488, type: FullHouse
[471] '74774' bid: 79, type: FullHouse
[175] '72727' bid: 538, type: FullHouse
[613] '6KK66' bid: 362, type: FullHouse
[1000] '6J66J' bid: 114, type: FullHouse
[557] '6TTT6' bid: 642, type: FullHouse
[213] '66996' bid: 13, type: FullHouse
[191] '66226' bid: 543, type: FullHouse
[544] '65556' bid: 835, type: FullHouse
[470] '64466' bid: 942, type: FullHouse
[230] '62622' bid: 784, type: FullHouse
[775] '5AA55' bid: 312, type: FullHouse
[914] '5Q5QQ' bid: 858, type: FullHouse
[624] '5J5J5' bid: 785, type: FullHouse
[299] '5T5TT' bid: 979, type: FullHouse
[19] '58858' bid: 555, type: FullHouse
[3] '55KK5' bid: 590, type: FullHouse
[223] '555TT' bid: 968, type: FullHouse
[878] '55577' bid: 182, type: FullHouse
[897] '55353' bid: 981, type: FullHouse
[338] '54554' bid: 440, type: FullHouse
[779] '4AA4A' bid: 578, type: FullHouse
[295] '4A44A' bid: 685, type: FullHouse
[150] '4K44K' bid: 424, type: FullHouse
[251] '4Q4Q4' bid: 126, type: FullHouse
[721] '4J44J' bid: 245, type: FullHouse
[13] '46446' bid: 802, type: FullHouse
[922] '45544' bid: 282, type: FullHouse
[222] '44994' bid: 567, type: FullHouse
[765] '44888' bid: 898, type: FullHouse
[916] '44477' bid: 559, type: FullHouse
[674] '44433' bid: 922, type: FullHouse
[449] '39399' bid: 928, type: FullHouse
[696] '36663' bid: 815, type: FullHouse
[187] '35353' bid: 618, type: FullHouse
[645] '34433' bid: 39, type: FullHouse
[53] '33Q3Q' bid: 641, type: FullHouse
[587] '33TTT' bid: 353, type: FullHouse
[977] '33939' bid: 822, type: FullHouse
[9] '33888' bid: 311, type: FullHouse
[488] '33636' bid: 310, type: FullHouse
[380] '333AA' bid: 167, type: FullHouse
[809] '333JJ' bid: 997, type: FullHouse
[786] '2A2A2' bid: 171, type: FullHouse
[292] '2JJ22' bid: 932, type: FullHouse
[461] '29922' bid: 412, type: FullHouse
[289] '28282' bid: 31, type: FullHouse
[483] '25522' bid: 770, type: FullHouse
[743] '24244' bid: 992, type: FullHouse
[312] '22T2T' bid: 97, type: FullHouse
[837] 'AAA5K' bid: 466, type: ThreeOfAKind
[903] 'AAA26' bid: 598, type: ThreeOfAKind
[390] 'AA48A' bid: 56, type: ThreeOfAKind
[881] 'AQQQ4' bid: 766, type: ThreeOfAKind
[151] 'AJQQQ' bid: 533, type: ThreeOfAKind
[919] 'ATAA8' bid: 120, type: ThreeOfAKind
[72] 'A99J9' bid: 771, type: ThreeOfAKind
[893] 'A66J6' bid: 213, type: ThreeOfAKind
[770] 'A4ATA' bid: 971, type: ThreeOfAKind
[509] 'A444J' bid: 950, type: ThreeOfAKind
[318] 'A3QQQ' bid: 885, type: ThreeOfAKind
[646] 'A333J' bid: 463, type: ThreeOfAKind
[43] 'A2AA5' bid: 549, type: ThreeOfAKind
[172] 'A2AQA' bid: 267, type: ThreeOfAKind
[315] 'A28AA' bid: 137, type: ThreeOfAKind
[635] 'KKK6T' bid: 682, type: ThreeOfAKind
[386] 'KKQK5' bid: 599, type: ThreeOfAKind
[567] 'KKJKT' bid: 339, type: ThreeOfAKind
[183] 'KKJK2' bid: 64, type: ThreeOfAKind
[858] 'KK6KA' bid: 568, type: ThreeOfAKind
[35] 'KK3KA' bid: 620, type: ThreeOfAKind
[145] 'KJQKK' bid: 57, type: ThreeOfAKind
[848] 'KTKK5' bid: 140, type: ThreeOfAKind
[321] 'KTTQT' bid: 949, type: ThreeOfAKind
[846] 'K9599' bid: 174, type: ThreeOfAKind
[189] 'K8884' bid: 34, type: ThreeOfAKind
[907] 'K7K4K' bid: 961, type: ThreeOfAKind
[49] 'K7JKK' bid: 262, type: ThreeOfAKind
[810] 'K333Q' bid: 681, type: ThreeOfAKind
[348] 'K2229' bid: 285, type: ThreeOfAKind
[776] 'QAKAA' bid: 228, type: ThreeOfAKind
[729] 'QQQ72' bid: 165, type: ThreeOfAKind
[682] 'QQ64Q' bid: 40, type: ThreeOfAKind
[480] 'QTQ6Q' bid: 204, type: ThreeOfAKind
[367] 'QT888' bid: 501, type: ThreeOfAKind
[953] 'Q9QAQ' bid: 491, type: ThreeOfAKind
[866] 'Q7QQJ' bid: 23, type: ThreeOfAKind
[750] 'Q7555' bid: 899, type: ThreeOfAKind
[56] 'Q5Q3Q' bid: 264, type: ThreeOfAKind
[266] 'Q5553' bid: 564, type: ThreeOfAKind
[2] 'Q33J3' bid: 205, type: ThreeOfAKind
[496] 'Q3343' bid: 99, type: ThreeOfAKind
[492] 'Q2922' bid: 773, type: ThreeOfAKind
[419] 'JAA7A' bid: 528, type: ThreeOfAKind
[933] 'JATTT' bid: 391, type: ThreeOfAKind
[416] 'JKJJ7' bid: 636, type: ThreeOfAKind
[403] 'JQKQQ' bid: 299, type: ThreeOfAKind
[795] 'JQQQT' bid: 965, type: ThreeOfAKind
[330] 'JJ56J' bid: 948, type: ThreeOfAKind
[965] 'J888A' bid: 89, type: ThreeOfAKind
[581] 'J7Q77' bid: 260, type: ThreeOfAKind
[550] 'J6T66' bid: 364, type: ThreeOfAKind
[868] 'J6676' bid: 289, type: ThreeOfAKind
[214] 'J444T' bid: 401, type: ThreeOfAKind
[589] 'J3353' bid: 178, type: ThreeOfAKind
[107] 'J2227' bid: 863, type: ThreeOfAKind
[125] 'TKQQQ' bid: 716, type: ThreeOfAKind
[536] 'TJTT8' bid: 58, type: ThreeOfAKind
[311] 'TJ888' bid: 525, type: ThreeOfAKind
[240] 'TTQJT' bid: 515, type: ThreeOfAKind
[745] 'TTTK3' bid: 90, type: ThreeOfAKind
[703] 'TTT75' bid: 443, type: ThreeOfAKind
[304] 'TTT4J' bid: 389, type: ThreeOfAKind
[309] 'TT97T' bid: 32, type: ThreeOfAKind
[657] 'T96TT' bid: 725, type: ThreeOfAKind
[573] 'T9299' bid: 914, type: ThreeOfAKind
[928] 'T777K' bid: 921, type: ThreeOfAKind
[153] 'T6668' bid: 445, type: ThreeOfAKind
[185] 'T5J55' bid: 49, type: ThreeOfAKind
[519] 'T5575' bid: 541, type: ThreeOfAKind
[869] 'T555Q' bid: 558, type: ThreeOfAKind
[601] 'T3343' bid: 918, type: ThreeOfAKind
[687] 'T2666' bid: 530, type: ThreeOfAKind
[374] 'T25TT' bid: 461, type: ThreeOfAKind
[609] '9AJAA' bid: 88, type: ThreeOfAKind
[813] '9Q969' bid: 202, type: ThreeOfAKind
[463] '9J994' bid: 883, type: ThreeOfAKind
[243] '9J969' bid: 529, type: ThreeOfAKind
[71] '99T89' bid: 176, type: ThreeOfAKind
[859] '99925' bid: 691, type: ThreeOfAKind
[675] '9799J' bid: 705, type: ThreeOfAKind
[414] '96333' bid: 915, type: ThreeOfAKind
[190] '94T44' bid: 805, type: ThreeOfAKind
[395] '94998' bid: 33, type: ThreeOfAKind
[991] '94445' bid: 776, type: ThreeOfAKind
[891] '939J9' bid: 570, type: ThreeOfAKind
[177] '93599' bid: 703, type: ThreeOfAKind
[966] '92888' bid: 296, type: ThreeOfAKind
[556] '92399' bid: 381, type: ThreeOfAKind
[913] '922A2' bid: 442, type: ThreeOfAKind
[978] '8A883' bid: 764, type: ThreeOfAKind
[469] '8QQQ3' bid: 508, type: ThreeOfAKind
[656] '8JAAA' bid: 626, type: ThreeOfAKind
[617] '8J88Q' bid: 498, type: ThreeOfAKind
[909] '8J828' bid: 973, type: ThreeOfAKind
[560] '89979' bid: 842, type: ThreeOfAKind
[229] '8988K' bid: 696, type: ThreeOfAKind
[755] '88578' bid: 840, type: ThreeOfAKind
[80] '88482' bid: 877, type: ThreeOfAKind
[619] '883J8' bid: 940, type: ThreeOfAKind
[265] '86999' bid: 545, type: ThreeOfAKind
[875] '8555J' bid: 241, type: ThreeOfAKind
[378] '83335' bid: 690, type: ThreeOfAKind
[622] '82885' bid: 820, type: ThreeOfAKind
[768] '7A727' bid: 821, type: ThreeOfAKind
[39] '7QQQ3' bid: 149, type: ThreeOfAKind
[427] '7Q773' bid: 673, type: ThreeOfAKind
[402] '7TJTT' bid: 207, type: ThreeOfAKind
[778] '7T775' bid: 680, type: ThreeOfAKind
[426] '7T772' bid: 657, type: ThreeOfAKind
[569] '7877J' bid: 469, type: ThreeOfAKind
[835] '77KJ7' bid: 425, type: ThreeOfAKind
[827] '75477' bid: 94, type: ThreeOfAKind
[357] '737T7' bid: 458, type: ThreeOfAKind
[493] '7377J' bid: 856, type: ThreeOfAKind
[14] '72757' bid: 471, type: ThreeOfAKind
[789] '6KKKJ' bid: 60, type: ThreeOfAKind
[585] '6QAQQ' bid: 794, type: ThreeOfAKind
[939] '6T4TT' bid: 818, type: ThreeOfAKind
[253] '6966A' bid: 699, type: ThreeOfAKind
[389] '677A7' bid: 35, type: ThreeOfAKind
[828] '67366' bid: 327, type: ThreeOfAKind
[458] '66968' bid: 757, type: ThreeOfAKind
[225] '666J9' bid: 298, type: ThreeOfAKind
[423] '64766' bid: 837, type: ThreeOfAKind
[700] '63833' bid: 470, type: ThreeOfAKind
[192] '5KK7K' bid: 116, type: ThreeOfAKind
[595] '59A55' bid: 103, type: ThreeOfAKind
[193] '599J9' bid: 998, type: ThreeOfAKind
[920] '5655J' bid: 584, type: ThreeOfAKind
[512] '55JK5' bid: 150, type: ThreeOfAKind
[568] '55T56' bid: 235, type: ThreeOfAKind
[936] '555K9' bid: 477, type: ThreeOfAKind
[797] '54J55' bid: 500, type: ThreeOfAKind
[393] '53755' bid: 982, type: ThreeOfAKind
[983] '525J5' bid: 499, type: ThreeOfAKind
[580] '4T777' bid: 592, type: ThreeOfAKind
[781] '47377' bid: 200, type: ThreeOfAKind
[740] '44K4J' bid: 357, type: ThreeOfAKind
[360] '44Q34' bid: 957, type: ThreeOfAKind
[712] '44JQ4' bid: 72, type: ThreeOfAKind
[77] '445T4' bid: 865, type: ThreeOfAKind
[124] '444A6' bid: 813, type: ThreeOfAKind
[507] '3A2AA' bid: 170, type: ThreeOfAKind
[95] '3JJ7J' bid: 984, type: ThreeOfAKind
[86] '39T33' bid: 744, type: ThreeOfAKind
[715] '39233' bid: 242, type: ThreeOfAKind
[83] '38666' bid: 867, type: ThreeOfAKind
[501] '366J6' bid: 1000, type: ThreeOfAKind
[477] '36566' bid: 774, type: ThreeOfAKind
[252] '34744' bid: 931, type: ThreeOfAKind
[863] '3383J' bid: 726, type: ThreeOfAKind
[772] '333K8' bid: 199, type: ThreeOfAKind
[264] '333J9' bid: 871, type: ThreeOfAKind
[591] '3339K' bid: 490, type: ThreeOfAKind
[178] '322T2' bid: 340, type: ThreeOfAKind
[900] '2A2J2' bid: 314, type: ThreeOfAKind
[445] '2K272' bid: 717, type: ThreeOfAKind
[61] '2QQQ8' bid: 548, type: ThreeOfAKind
[20] '2Q22J' bid: 542, type: ThreeOfAKind
[417] '2J822' bid: 663, type: ThreeOfAKind
[224] '2T522' bid: 563, type: ThreeOfAKind
[384] '2999K' bid: 484, type: ThreeOfAKind
[924] '29998' bid: 197, type: ThreeOfAKind
[308] '26223' bid: 677, type: ThreeOfAKind
[761] '25J22' bid: 233, type: ThreeOfAKind
[256] '24484' bid: 278, type: ThreeOfAKind
[971] '23242' bid: 751, type: ThreeOfAKind
[438] '22K2A' bid: 426, type: ThreeOfAKind
[575] 'AAKK9' bid: 481, type: TwoPair
[741] 'AAKJK' bid: 597, type: TwoPair
[551] 'AAJQQ' bid: 666, type: TwoPair
[574] 'AAJ55' bid: 2, type: TwoPair
[144] 'AAT9T' bid: 809, type: TwoPair
[727] 'AA88Q' bid: 338, type: TwoPair
[773] 'AQA33' bid: 44, type: TwoPair
[136] 'A8ATT' bid: 514, type: TwoPair
[180] 'A84A8' bid: 610, type: TwoPair
[1] 'A833A' bid: 309, type: TwoPair
[736] 'A7A72' bid: 714, type: TwoPair
[275] 'A5AK5' bid: 539, type: TwoPair
[221] 'A5ATT' bid: 670, type: TwoPair
[963] 'A33TA' bid: 406, type: TwoPair
[233] 'A2A72' bid: 951, type: TwoPair
[570] 'A2A26' bid: 315, type: TwoPair
[342] 'KAK3A' bid: 273, type: TwoPair
[947] 'KA9K9' bid: 497, type: TwoPair
[126] 'KKTT7' bid: 758, type: TwoPair
[582] 'KK393' bid: 190, type: TwoPair
[705] 'KJ3K3' bid: 977, type: TwoPair
[612] 'KTK6T' bid: 760, type: TwoPair
[272] 'K989K' bid: 345, type: TwoPair
[260] 'K8228' bid: 449, type: TwoPair
[322] 'K6AKA' bid: 712, type: TwoPair
[702] 'K63K6' bid: 397, type: TwoPair
[989] 'K5665' bid: 8, type: TwoPair
[798] 'K5445' bid: 261, type: TwoPair
[128] 'K4A4A' bid: 958, type: TwoPair
[478] 'K44K9' bid: 18, type: TwoPair
[529] 'QQJ88' bid: 257, type: TwoPair
[101] 'QQ969' bid: 93, type: TwoPair
[824] 'QQ788' bid: 870, type: TwoPair
[615] 'QQ668' bid: 841, type: TwoPair
[446] 'QQ277' bid: 739, type: TwoPair
[503] 'QJTQJ' bid: 446, type: TwoPair
[771] 'QT4QT' bid: 586, type: TwoPair
[661] 'QT3QT' bid: 622, type: TwoPair
[356] 'Q9AAQ' bid: 617, type: TwoPair
[882] 'Q838Q' bid: 631, type: TwoPair
[383] 'Q77AA' bid: 995, type: TwoPair
[831] 'Q6767' bid: 838, type: TwoPair
[422] 'Q66TQ' bid: 37, type: TwoPair
[33] 'Q6565' bid: 943, type: TwoPair
[50] 'Q5QT5' bid: 169, type: TwoPair
[65] 'Q4K4K' bid: 826, type: TwoPair
[320] 'Q44QT' bid: 102, type: TwoPair
[969] 'Q44JQ' bid: 894, type: TwoPair
[74] 'Q3A3Q' bid: 373, type: TwoPair
[45] 'Q3QAA' bid: 999, type: TwoPair
[5] 'Q3QT3' bid: 11, type: TwoPair
[54] 'Q355Q' bid: 69, type: TwoPair
[814] 'Q3232' bid: 941, type: TwoPair
[739] 'Q2QJ2' bid: 796, type: TwoPair
[566] 'Q2626' bid: 554, type: TwoPair
[452] 'Q255Q' bid: 259, type: TwoPair
[692] 'JK8K8' bid: 527, type: TwoPair
[81] 'JQKQJ' bid: 976, type: TwoPair
[871] 'JQQKK' bid: 715, type: TwoPair
[899] 'JJAA7' bid: 654, type: TwoPair
[944] 'JJ992' bid: 185, type: TwoPair
[435] 'J89J8' bid: 451, type: TwoPair
[918] 'J79J9' bid: 966, type: TwoPair
[794] 'J77J9' bid: 448, type: TwoPair
[513] 'J77J2' bid: 686, type: TwoPair
[967] 'J66JK' bid: 667, type: TwoPair
[340] 'J6655' bid: 399, type: TwoPair
[235] 'J55AJ' bid: 363, type: TwoPair
[584] 'J5353' bid: 836, type: TwoPair
[532] 'J4455' bid: 850, type: TwoPair
[621] 'J2442' bid: 575, type: TwoPair
[197] 'TAT66' bid: 251, type: TwoPair
[546] 'TQ2TQ' bid: 960, type: TwoPair
[142] 'TJKKJ' bid: 579, type: TwoPair
[631] 'TTQ77' bid: 256, type: TwoPair
[756] 'TT4J4' bid: 198, type: TwoPair
[394] 'T6T6J' bid: 465, type: TwoPair
[303] 'T5TJJ' bid: 944, type: TwoPair
[228] 'T2Q2Q' bid: 153, type: TwoPair
[628] 'T232T' bid: 53, type: TwoPair
[450] '9AT9T' bid: 392, type: TwoPair
[459] '9K97K' bid: 605, type: TwoPair
[563] '9J9TT' bid: 729, type: TwoPair
[276] '99KTT' bid: 736, type: TwoPair
[196] '99833' bid: 881, type: TwoPair
[754] '997J7' bid: 727, type: TwoPair
[316] '99525' bid: 779, type: TwoPair
[849] '9922J' bid: 808, type: TwoPair
[44] '98944' bid: 375, type: TwoPair
[29] '97397' bid: 121, type: TwoPair
[904] '969J6' bid: 970, type: TwoPair
[905] '96694' bid: 402, type: TwoPair
[7] '96659' bid: 162, type: TwoPair
[8] '955A9' bid: 851, type: TwoPair
[561] '955QQ' bid: 206, type: TwoPair
[475] '95395' bid: 891, type: TwoPair
[669] '94469' bid: 859, type: TwoPair
[945] '94349' bid: 54, type: TwoPair
[708] '93366' bid: 326, type: TwoPair
[689] '92629' bid: 893, type: TwoPair
[328] '922QQ' bid: 324, type: TwoPair
[774] '8Q8QK' bid: 878, type: TwoPair
[140] '899QQ' bid: 531, type: TwoPair
[707] '899J8' bid: 467, type: TwoPair
[250] '89595' bid: 334, type: TwoPair
[481] '885KK' bid: 115, type: TwoPair
[216] '8778A' bid: 280, type: TwoPair
[366] '8778Q' bid: 244, type: TwoPair
[147] '86T68' bid: 77, type: TwoPair
[807] '868KK' bid: 325, type: TwoPair
[345] '8585Q' bid: 916, type: TwoPair
[517] '84A84' bid: 946, type: TwoPair
[350] '83T38' bid: 987, type: TwoPair
[647] '82J28' bid: 710, type: TwoPair
[442] '82827' bid: 139, type: TwoPair
[249] '7A75A' bid: 192, type: TwoPair
[510] '7KK55' bid: 582, type: TwoPair
[877] '7K7KA' bid: 4, type: TwoPair
[884] '7QQ97' bid: 910, type: TwoPair
[644] '79947' bid: 869, type: TwoPair
[876] '77J88' bid: 29, type: TwoPair
[154] '77646' bid: 155, type: TwoPair
[834] '774AA' bid: 388, type: TwoPair
[986] '76J67' bid: 95, type: TwoPair
[699] '75275' bid: 304, type: TwoPair
[929] '73766' bid: 799, type: TwoPair
[787] '6ATTA' bid: 279, type: TwoPair
[433] '6QK6Q' bid: 284, type: TwoPair
[676] '6QQ62' bid: 656, type: TwoPair
[650] '6J86J' bid: 472, type: TwoPair
[565] '69963' bid: 86, type: TwoPair
[397] '68J68' bid: 151, type: TwoPair
[11] '67A7A' bid: 978, type: TwoPair
[552] '66QJQ' bid: 547, type: TwoPair
[495] '66TT7' bid: 634, type: TwoPair
[819] '669TT' bid: 208, type: TwoPair
[355] '6644K' bid: 485, type: TwoPair
[973] '66282' bid: 272, type: TwoPair
[201] '65K5K' bid: 734, type: TwoPair
[441] '65568' bid: 238, type: TwoPair
[262] '63Q63' bid: 909, type: TwoPair
[870] '636J3' bid: 47, type: TwoPair
[598] '5KJK5' bid: 226, type: TwoPair
[98] '5QQ88' bid: 956, type: TwoPair
[108] '5TT99' bid: 337, type: TwoPair
[841] '59KK5' bid: 817, type: TwoPair
[73] '588A5' bid: 483, type: TwoPair
[961] '57A75' bid: 194, type: TwoPair
[10] '57JJ7' bid: 721, type: TwoPair
[883] '56TT6' bid: 478, type: TwoPair
[836] '55TJT' bid: 985, type: TwoPair
[684] '5588J' bid: 632, type: TwoPair
[541] '55779' bid: 302, type: TwoPair
[421] '54KK5' bid: 621, type: TwoPair
[371] '52665' bid: 798, type: TwoPair
[840] '52454' bid: 211, type: TwoPair
[64] '4AAQ4' bid: 532, type: TwoPair
[829] '4AA74' bid: 860, type: TwoPair
[704] '4KK4J' bid: 96, type: TwoPair
[597] '4Q43Q' bid: 48, type: TwoPair
[923] '4T49T' bid: 756, type: TwoPair
[468] '49898' bid: 746, type: TwoPair
[838] '484J8' bid: 750, type: TwoPair
[30] '48334' bid: 748, type: TwoPair
[439] '464Q6' bid: 268, type: TwoPair
[254] '44QTT' bid: 73, type: TwoPair
[100] '44J77' bid: 38, type: TwoPair
[57] '44229' bid: 848, type: TwoPair
[499] '3AJA3' bid: 687, type: TwoPair
[942] '3A883' bid: 346, type: TwoPair
[686] '3A39A' bid: 587, type: TwoPair
[453] '393J9' bid: 74, type: TwoPair
[562] '3434K' bid: 216, type: TwoPair
[780] '33KAK' bid: 645, type: TwoPair
[491] '33799' bid: 71, type: TwoPair
[706] '3232T' bid: 912, type: TwoPair
[132] '32237' bid: 164, type: TwoPair
[697] '2AQ2A' bid: 628, type: TwoPair
[339] '2QKQ2' bid: 108, type: TwoPair
[954] '2J88J' bid: 275, type: TwoPair
[31] '2J5J2' bid: 964, type: TwoPair
[248] '2J233' bid: 430, type: TwoPair
[670] '2TT77' bid: 464, type: TwoPair
[521] '29Q92' bid: 788, type: TwoPair
[113] '28682' bid: 332, type: TwoPair
[219] '27267' bid: 644, type: TwoPair
[638] '26269' bid: 902, type: TwoPair
