Advent of Code - Day 07
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay07/input.txt
[0959] 'AAAAJ' bid: 594, type: FiveOfAKind
[0049] 'K7JKK' bid: 262, type: FourOfAKind
[0145] 'KJQKK' bid: 057, type: FourOfAKind
[0324] 'QAQQQ' bid: 556, type: FourOfAKind
[0381] 'QKKKK' bid: 747, type: FourOfAKind
[0060] 'QQQ8Q' bid: 711, type: FourOfAKind
[0815] 'QQ3QQ' bid: 117, type: FourOfAKind
[0117] 'QQ2QQ' bid: 844, type: FourOfAKind
[0934] 'Q9999' bid: 179, type: FourOfAKind
[0663] 'Q8888' bid: 274, type: FourOfAKind
[0866] 'Q7QQJ' bid: 023, type: FourOfAKind
[0651] 'Q6QQQ' bid: 133, type: FourOfAKind
[0766] 'Q6666' bid: 372, type: FourOfAKind
[0104] 'Q5QQQ' bid: 585, type: FourOfAKind
[0002] 'Q33J3' bid: 205, type: FourOfAKind
[0503] 'QJTQJ' bid: 446, type: FourOfAKind
[0240] 'TTQJT' bid: 515, type: FourOfAKind
[0821] 'TTTTQ' bid: 384, type: FourOfAKind
[0304] 'TTT4J' bid: 389, type: FourOfAKind
[0119] 'TT7TT' bid: 110, type: FourOfAKind
[0302] 'T8888' bid: 608, type: FourOfAKind
[0303] 'T5TJJ' bid: 944, type: FourOfAKind
[0185] 'T5J55' bid: 049, type: FourOfAKind
[0273] 'T4444' bid: 595, type: FourOfAKind
[0142] 'TJKKJ' bid: 579, type: FourOfAKind
[0536] 'TJTT8' bid: 058, type: FourOfAKind
[0311] 'TJ888' bid: 525, type: FourOfAKind
[0609] '9AJAA' bid: 088, type: FourOfAKind
[0984] '9999T' bid: 761, type: FourOfAKind
[0641] '99969' bid: 163, type: FourOfAKind
[0558] '99959' bid: 146, type: FourOfAKind
[0960] '99929' bid: 864, type: FourOfAKind
[0880] '99399' bid: 790, type: FourOfAKind
[0508] '97999' bid: 604, type: FourOfAKind
[0675] '9799J' bid: 705, type: FourOfAKind
[0891] '939J9' bid: 570, type: FourOfAKind
[0096] '93333' bid: 408, type: FourOfAKind
[0463] '9J994' bid: 883, type: FourOfAKind
[0243] '9J969' bid: 529, type: FourOfAKind
[0981] '888A8' bid: 933, type: FourOfAKind
[0326] '88884' bid: 385, type: FourOfAKind
[0159] '88388' bid: 782, type: FourOfAKind
[0619] '883J8' bid: 940, type: FourOfAKind
[0875] '8555J' bid: 241, type: FourOfAKind
[0656] '8JAAA' bid: 626, type: FourOfAKind
[0617] '8J88Q' bid: 498, type: FourOfAKind
[0909] '8J828' bid: 973, type: FourOfAKind
[0402] '7TJTT' bid: 207, type: FourOfAKind
[0911] '79777' bid: 122, type: FourOfAKind
[0364] '78888' bid: 290, type: FourOfAKind
[0331] '78777' bid: 719, type: FourOfAKind
[0569] '7877J' bid: 469, type: FourOfAKind
[0835] '77KJ7' bid: 425, type: FourOfAKind
[0906] '777T7' bid: 136, type: FourOfAKind
[0168] '7777A' bid: 135, type: FourOfAKind
[0637] '7777K' bid: 254, type: FourOfAKind
[0444] '77757' bid: 415, type: FourOfAKind
[0993] '77747' bid: 553, type: FourOfAKind
[0752] '75555' bid: 613, type: FourOfAKind
[0577] '74444' bid: 683, type: FourOfAKind
[0493] '7377J' bid: 856, type: FourOfAKind
[0052] '72777' bid: 519, type: FourOfAKind
[0789] '6KKKJ' bid: 060, type: FourOfAKind
[0387] '6T666' bid: 009, type: FourOfAKind
[0607] '67777' bid: 437, type: FourOfAKind
[0894] '67666' bid: 051, type: FourOfAKind
[0400] '6666A' bid: 476, type: FourOfAKind
[0373] '66668' bid: 919, type: FourOfAKind
[0466] '66626' bid: 900, type: FourOfAKind
[0225] '666J9' bid: 298, type: FourOfAKind
[0092] '63333' bid: 231, type: FourOfAKind
[0091] '62222' bid: 188, type: FourOfAKind
[0650] '6J86J' bid: 472, type: FourOfAKind
[0498] '5A555' bid: 439, type: FourOfAKind
[0938] '5T555' bid: 512, type: FourOfAKind
[0193] '599J9' bid: 998, type: FourOfAKind
[0372] '58888' bid: 875, type: FourOfAKind
[0010] '57JJ7' bid: 721, type: FourOfAKind
[0920] '5655J' bid: 584, type: FourOfAKind
[0257] '55955' bid: 422, type: FourOfAKind
[0336] '55585' bid: 936, type: FourOfAKind
[0801] '55565' bid: 283, type: FourOfAKind
[0605] '55545' bid: 143, type: FourOfAKind
[0512] '55JK5' bid: 150, type: FourOfAKind
[0797] '54J55' bid: 500, type: FourOfAKind
[0983] '525J5' bid: 499, type: FourOfAKind
[0898] '4KKKK' bid: 144, type: FourOfAKind
[0817] '46666' bid: 276, type: FourOfAKind
[0740] '44K4J' bid: 357, type: FourOfAKind
[0016] '44944' bid: 660, type: FourOfAKind
[0231] '444K4' bid: 962, type: FourOfAKind
[0362] '44442' bid: 566, type: FourOfAKind
[0712] '44JQ4' bid: 072, type: FourOfAKind
[0179] '42222' bid: 722, type: FourOfAKind
[0129] '37777' bid: 159, type: FourOfAKind
[0501] '366J6' bid: 1000, type: FourOfAKind
[0863] '3383J' bid: 726, type: FourOfAKind
[0943] '33733' bid: 313, type: FourOfAKind
[0655] '33334' bid: 351, type: FourOfAKind
[0264] '333J9' bid: 871, type: FourOfAKind
[0095] '3JJ7J' bid: 984, type: FourOfAKind
[0317] '2AAAA' bid: 019, type: FourOfAKind
[0900] '2A2J2' bid: 314, type: FourOfAKind
[0716] '2Q222' bid: 104, type: FourOfAKind
[0020] '2Q22J' bid: 542, type: FourOfAKind
[0504] '2TTTT' bid: 265, type: FourOfAKind
[0761] '25J22' bid: 233, type: FourOfAKind
[0431] '23333' bid: 475, type: FourOfAKind
[0964] '22A22' bid: 416, type: FourOfAKind
[0399] '22922' bid: 755, type: FourOfAKind
[0022] '22522' bid: 249, type: FourOfAKind
[0523] '222K2' bid: 003, type: FourOfAKind
[0473] '22228' bid: 492, type: FourOfAKind
[0832] '22223' bid: 227, type: FourOfAKind
[0954] '2J88J' bid: 275, type: FourOfAKind
[0417] '2J822' bid: 663, type: FourOfAKind
[0031] '2J5J2' bid: 964, type: FourOfAKind
[0419] 'JAA7A' bid: 528, type: FourOfAKind
[0933] 'JATTT' bid: 391, type: FourOfAKind
[0416] 'JKJJ7' bid: 636, type: FourOfAKind
[0403] 'JQKQQ' bid: 299, type: FourOfAKind
[0081] 'JQKQJ' bid: 976, type: FourOfAKind
[0795] 'JQQQT' bid: 965, type: FourOfAKind
[0435] 'J89J8' bid: 451, type: FourOfAKind
[0965] 'J888A' bid: 089, type: FourOfAKind
[0581] 'J7Q77' bid: 260, type: FourOfAKind
[0918] 'J79J9' bid: 966, type: FourOfAKind
[0794] 'J77J9' bid: 448, type: FourOfAKind
[0513] 'J77J2' bid: 686, type: FourOfAKind
[0550] 'J6T66' bid: 364, type: FourOfAKind
[0868] 'J6676' bid: 289, type: FourOfAKind
[0967] 'J66JK' bid: 667, type: FourOfAKind
[0235] 'J55AJ' bid: 363, type: FourOfAKind
[0214] 'J444T' bid: 401, type: FourOfAKind
[0589] 'J3353' bid: 178, type: FourOfAKind
[0107] 'J2227' bid: 863, type: FourOfAKind
[0899] 'JJAA7' bid: 654, type: FourOfAKind
[0944] 'JJ992' bid: 185, type: FourOfAKind
[0330] 'JJ56J' bid: 948, type: FourOfAKind
[0741] 'AAKJK' bid: 597, type: FullHouse
[0742] 'AATTA' bid: 028, type: FullHouse
[0578] 'AATTT' bid: 603, type: FullHouse
[0802] 'AA33A' bid: 195, type: FullHouse
[0701] 'AA22A' bid: 955, type: FullHouse
[0551] 'AAJQQ' bid: 666, type: FullHouse
[0574] 'AAJ55' bid: 002, type: FullHouse
[0301] 'A9AA9' bid: 676, type: FullHouse
[0392] 'A8A8A' bid: 342, type: FullHouse
[0375] 'A6A6A' bid: 125, type: FullHouse
[0851] 'A6A66' bid: 569, type: FullHouse
[0337] 'KKKAA' bid: 473, type: FullHouse
[0268] 'KKK55' bid: 665, type: FullHouse
[0677] 'KKK22' bid: 432, type: FullHouse
[0135] 'KKTTT' bid: 832, type: FullHouse
[0820] 'KK66K' bid: 189, type: FullHouse
[0516] 'KQKQK' bid: 845, type: FullHouse
[0103] 'KTKTK' bid: 810, type: FullHouse
[0234] 'K8K8K' bid: 061, type: FullHouse
[0724] 'K33K3' bid: 387, type: FullHouse
[0051] 'K22K2' bid: 318, type: FullHouse
[0705] 'KJ3K3' bid: 977, type: FullHouse
[0173] 'QQ4Q4' bid: 857, type: FullHouse
[0726] 'QQ33Q' bid: 778, type: FullHouse
[0490] 'QQ22Q' bid: 091, type: FullHouse
[0529] 'QQJ88' bid: 257, type: FullHouse
[0283] 'QTQQT' bid: 930, type: FullHouse
[0969] 'Q44JQ' bid: 894, type: FullHouse
[0739] 'Q2QJ2' bid: 796, type: FullHouse
[0629] 'TQQTT' bid: 518, type: FullHouse
[0047] 'TT9T9' bid: 196, type: FullHouse
[0756] 'TT4J4' bid: 198, type: FullHouse
[0037] 'T9T99' bid: 684, type: FullHouse
[0300] 'T77T7' bid: 055, type: FullHouse
[0394] 'T6T6J' bid: 465, type: FullHouse
[0735] 'T666T' bid: 052, type: FullHouse
[0353] 'T4T4T' bid: 507, type: FullHouse
[0012] 'T44T4' bid: 557, type: FullHouse
[0927] '9A99A' bid: 720, type: FullHouse
[0430] '999KK' bid: 413, type: FullHouse
[0754] '997J7' bid: 727, type: FullHouse
[0070] '99669' bid: 336, type: FullHouse
[0036] '99229' bid: 395, type: FullHouse
[0849] '9922J' bid: 808, type: FullHouse
[0555] '98889' bid: 834, type: FullHouse
[0904] '969J6' bid: 970, type: FullHouse
[0885] '95595' bid: 333, type: FullHouse
[0563] '9J9TT' bid: 729, type: FullHouse
[0796] '8Q8Q8' bid: 243, type: FullHouse
[0714] '89998' bid: 321, type: FullHouse
[0707] '899J8' bid: 467, type: FullHouse
[0162] '88A8A' bid: 629, type: FullHouse
[0287] '88QQQ' bid: 866, type: FullHouse
[0526] '88T8T' bid: 679, type: FullHouse
[0094] '88877' bid: 322, type: FullHouse
[0058] '87778' bid: 695, type: FullHouse
[0105] '86688' bid: 623, type: FullHouse
[0647] '82J28' bid: 710, type: FullHouse
[0087] '7QQ77' bid: 177, type: FullHouse
[0063] '77AAA' bid: 969, type: FullHouse
[0290] '77979' bid: 524, type: FullHouse
[0876] '77J88' bid: 029, type: FullHouse
[0867] '76767' bid: 173, type: FullHouse
[0986] '76J67' bid: 095, type: FullHouse
[0683] '75577' bid: 488, type: FullHouse
[0471] '74774' bid: 079, type: FullHouse
[0175] '72727' bid: 538, type: FullHouse
[0613] '6KK66' bid: 362, type: FullHouse
[0557] '6TTT6' bid: 642, type: FullHouse
[0397] '68J68' bid: 151, type: FullHouse
[0552] '66QJQ' bid: 547, type: FullHouse
[0213] '66996' bid: 013, type: FullHouse
[0191] '66226' bid: 543, type: FullHouse
[0544] '65556' bid: 835, type: FullHouse
[0470] '64466' bid: 942, type: FullHouse
[0870] '636J3' bid: 047, type: FullHouse
[0230] '62622' bid: 784, type: FullHouse
[0775] '5AA55' bid: 312, type: FullHouse
[0598] '5KJK5' bid: 226, type: FullHouse
[0914] '5Q5QQ' bid: 858, type: FullHouse
[0299] '5T5TT' bid: 979, type: FullHouse
[0019] '58858' bid: 555, type: FullHouse
[0003] '55KK5' bid: 590, type: FullHouse
[0836] '55TJT' bid: 985, type: FullHouse
[0684] '5588J' bid: 632, type: FullHouse
[0223] '555TT' bid: 968, type: FullHouse
[0878] '55577' bid: 182, type: FullHouse
[0897] '55353' bid: 981, type: FullHouse
[0338] '54554' bid: 440, type: FullHouse
[0779] '4AA4A' bid: 578, type: FullHouse
[0295] '4A44A' bid: 685, type: FullHouse
[0704] '4KK4J' bid: 096, type: FullHouse
[0150] '4K44K' bid: 424, type: FullHouse
[0251] '4Q4Q4' bid: 126, type: FullHouse
[0838] '484J8' bid: 750, type: FullHouse
[0013] '46446' bid: 802, type: FullHouse
[0922] '45544' bid: 282, type: FullHouse
[0222] '44994' bid: 567, type: FullHouse
[0765] '44888' bid: 898, type: FullHouse
[0916] '44477' bid: 559, type: FullHouse
[0674] '44433' bid: 922, type: FullHouse
[0100] '44J77' bid: 038, type: FullHouse
[0499] '3AJA3' bid: 687, type: FullHouse
[0449] '39399' bid: 928, type: FullHouse
[0453] '393J9' bid: 074, type: FullHouse
[0696] '36663' bid: 815, type: FullHouse
[0187] '35353' bid: 618, type: FullHouse
[0645] '34433' bid: 039, type: FullHouse
[0053] '33Q3Q' bid: 641, type: FullHouse
[0587] '33TTT' bid: 353, type: FullHouse
[0977] '33939' bid: 822, type: FullHouse
[0009] '33888' bid: 311, type: FullHouse
[0488] '33636' bid: 310, type: FullHouse
[0380] '333AA' bid: 167, type: FullHouse
[0786] '2A2A2' bid: 171, type: FullHouse
[0461] '29922' bid: 412, type: FullHouse
[0289] '28282' bid: 031, type: FullHouse
[0483] '25522' bid: 770, type: FullHouse
[0743] '24244' bid: 992, type: FullHouse
[0312] '22T2T' bid: 097, type: FullHouse
[0248] '2J233' bid: 430, type: FullHouse
[0692] 'JK8K8' bid: 527, type: FullHouse
[0871] 'JQQKK' bid: 715, type: FullHouse
[0340] 'J6655' bid: 399, type: FullHouse
[0584] 'J5353' bid: 836, type: FullHouse
[0532] 'J4455' bid: 850, type: FullHouse
[0621] 'J2442' bid: 575, type: FullHouse
[0837] 'AAA5K' bid: 466, type: ThreeOfAKind
[0903] 'AAA26' bid: 598, type: ThreeOfAKind
[0390] 'AA48A' bid: 056, type: ThreeOfAKind
[0608] 'AAJ68' bid: 379, type: ThreeOfAKind
[0881] 'AQQQ4' bid: 766, type: ThreeOfAKind
[0919] 'ATAA8' bid: 120, type: ThreeOfAKind
[0812] 'A88J9' bid: 552, type: ThreeOfAKind
[0046] 'A8JAT' bid: 456, type: ThreeOfAKind
[0770] 'A4ATA' bid: 971, type: ThreeOfAKind
[0205] 'A4JA6' bid: 460, type: ThreeOfAKind
[0318] 'A3QQQ' bid: 885, type: ThreeOfAKind
[0043] 'A2AA5' bid: 549, type: ThreeOfAKind
[0172] 'A2AQA' bid: 267, type: ThreeOfAKind
[0315] 'A28AA' bid: 137, type: ThreeOfAKind
[0232] 'AJA42' bid: 980, type: ThreeOfAKind
[0818] 'AJJ96' bid: 398, type: ThreeOfAKind
[0985] 'KAATJ' bid: 118, type: ThreeOfAKind
[0325] 'KA2J2' bid: 534, type: ThreeOfAKind
[0635] 'KKK6T' bid: 682, type: ThreeOfAKind
[0386] 'KKQK5' bid: 599, type: ThreeOfAKind
[0858] 'KK6KA' bid: 568, type: ThreeOfAKind
[0035] 'KK3KA' bid: 620, type: ThreeOfAKind
[0138] 'KTKAJ' bid: 220, type: ThreeOfAKind
[0848] 'KTKK5' bid: 140, type: ThreeOfAKind
[0321] 'KTTQT' bid: 949, type: ThreeOfAKind
[0846] 'K9599' bid: 174, type: ThreeOfAKind
[0189] 'K8884' bid: 034, type: ThreeOfAKind
[0907] 'K7K4K' bid: 961, type: ThreeOfAKind
[0604] 'K4J99' bid: 063, type: ThreeOfAKind
[0810] 'K333Q' bid: 681, type: ThreeOfAKind
[0348] 'K2229' bid: 285, type: ThreeOfAKind
[0666] 'KJTK7' bid: 648, type: ThreeOfAKind
[0288] 'KJ95J' bid: 849, type: ThreeOfAKind
[0925] 'KJ2AK' bid: 493, type: ThreeOfAKind
[0776] 'QAKAA' bid: 228, type: ThreeOfAKind
[0729] 'QQQ72' bid: 165, type: ThreeOfAKind
[0682] 'QQ64Q' bid: 040, type: ThreeOfAKind
[0480] 'QTQ6Q' bid: 204, type: ThreeOfAKind
[0367] 'QT888' bid: 501, type: ThreeOfAKind
[0953] 'Q9QAQ' bid: 491, type: ThreeOfAKind
[0955] 'Q96JJ' bid: 012, type: ThreeOfAKind
[0750] 'Q7555' bid: 899, type: ThreeOfAKind
[0167] 'Q664J' bid: 017, type: ThreeOfAKind
[0056] 'Q5Q3Q' bid: 264, type: ThreeOfAKind
[0266] 'Q5553' bid: 564, type: ThreeOfAKind
[0806] 'Q4JQK' bid: 123, type: ThreeOfAKind
[0496] 'Q3343' bid: 099, type: ThreeOfAKind
[0492] 'Q2922' bid: 773, type: ThreeOfAKind
[0748] 'QJ7Q2' bid: 789, type: ThreeOfAKind
[0305] 'QJ63Q' bid: 895, type: ThreeOfAKind
[0465] 'TA3J3' bid: 601, type: ThreeOfAKind
[0125] 'TKQQQ' bid: 716, type: ThreeOfAKind
[0745] 'TTTK3' bid: 090, type: ThreeOfAKind
[0703] 'TTT75' bid: 443, type: ThreeOfAKind
[0309] 'TT97T' bid: 032, type: ThreeOfAKind
[0657] 'T96TT' bid: 725, type: ThreeOfAKind
[0573] 'T9299' bid: 914, type: ThreeOfAKind
[0017] 'T89JJ' bid: 938, type: ThreeOfAKind
[0208] 'T88J7' bid: 480, type: ThreeOfAKind
[0928] 'T777K' bid: 921, type: ThreeOfAKind
[0153] 'T6668' bid: 445, type: ThreeOfAKind
[0519] 'T5575' bid: 541, type: ThreeOfAKind
[0869] 'T555Q' bid: 558, type: ThreeOfAKind
[0601] 'T3343' bid: 918, type: ThreeOfAKind
[0157] 'T3JT4' bid: 494, type: ThreeOfAKind
[0687] 'T2666' bid: 530, type: ThreeOfAKind
[0374] 'T25TT' bid: 461, type: ThreeOfAKind
[0992] 'TJJ62' bid: 082, type: ThreeOfAKind
[0599] '9A5J5' bid: 843, type: ThreeOfAKind
[0026] '9A4JJ' bid: 168, type: ThreeOfAKind
[0813] '9Q969' bid: 202, type: ThreeOfAKind
[0980] '9QJ5Q' bid: 768, type: ThreeOfAKind
[0627] '9T2JT' bid: 489, type: ThreeOfAKind
[0181] '9TJTA' bid: 738, type: ThreeOfAKind
[0852] '9TJT5' bid: 335, type: ThreeOfAKind
[0071] '99T89' bid: 176, type: ThreeOfAKind
[0859] '99925' bid: 691, type: ThreeOfAKind
[0218] '96TJ6' bid: 130, type: ThreeOfAKind
[0432] '969J2' bid: 787, type: ThreeOfAKind
[0414] '96333' bid: 915, type: ThreeOfAKind
[0190] '94T44' bid: 805, type: ThreeOfAKind
[0395] '94998' bid: 033, type: ThreeOfAKind
[0514] '9484J' bid: 212, type: ThreeOfAKind
[0991] '94445' bid: 776, type: ThreeOfAKind
[0294] '94J34' bid: 929, type: ThreeOfAKind
[0177] '93599' bid: 703, type: ThreeOfAKind
[0966] '92888' bid: 296, type: ThreeOfAKind
[0556] '92399' bid: 381, type: ThreeOfAKind
[0913] '922A2' bid: 442, type: ThreeOfAKind
[0625] '9JQ7Q' bid: 403, type: ThreeOfAKind
[0067] '9J55K' bid: 772, type: ThreeOfAKind
[0978] '8A883' bid: 764, type: ThreeOfAKind
[0935] '8K4J4' bid: 780, type: ThreeOfAKind
[0469] '8QQQ3' bid: 508, type: ThreeOfAKind
[0816] '8T9TJ' bid: 602, type: ThreeOfAKind
[0560] '89979' bid: 842, type: ThreeOfAKind
[0229] '8988K' bid: 696, type: ThreeOfAKind
[0377] '8949J' bid: 462, type: ThreeOfAKind
[0979] '88QJ3' bid: 237, type: ThreeOfAKind
[0755] '88578' bid: 840, type: ThreeOfAKind
[0080] '88482' bid: 877, type: ThreeOfAKind
[0265] '86999' bid: 545, type: ThreeOfAKind
[0120] '86JK6' bid: 431, type: ThreeOfAKind
[0378] '83335' bid: 690, type: ThreeOfAKind
[0622] '82885' bid: 820, type: ThreeOfAKind
[0658] '8J9K8' bid: 459, type: ThreeOfAKind
[0148] '8J798' bid: 191, type: ThreeOfAKind
[0763] '8J6JT' bid: 021, type: ThreeOfAKind
[0768] '7A727' bid: 821, type: ThreeOfAKind
[0039] '7QQQ3' bid: 149, type: ThreeOfAKind
[0427] '7Q773' bid: 673, type: ThreeOfAKind
[0171] '7Q5JJ' bid: 209, type: ThreeOfAKind
[0778] '7T775' bid: 680, type: ThreeOfAKind
[0426] '7T772' bid: 657, type: ThreeOfAKind
[0592] '77JAT' bid: 215, type: ThreeOfAKind
[0767] '75K7J' bid: 393, type: ThreeOfAKind
[0827] '75477' bid: 094, type: ThreeOfAKind
[0951] '75J3J' bid: 923, type: ThreeOfAKind
[0357] '737T7' bid: 458, type: ThreeOfAKind
[0862] '727TJ' bid: 075, type: ThreeOfAKind
[0014] '72757' bid: 471, type: ThreeOfAKind
[0533] '7JA73' bid: 221, type: ThreeOfAKind
[0723] '7JQQ6' bid: 664, type: ThreeOfAKind
[0204] '7JQ9J' bid: 062, type: ThreeOfAKind
[0139] '7J927' bid: 904, type: ThreeOfAKind
[0194] '6K96J' bid: 418, type: ThreeOfAKind
[0585] '6QAQQ' bid: 794, type: ThreeOfAKind
[0939] '6T4TT' bid: 818, type: ThreeOfAKind
[0805] '6T36J' bid: 983, type: ThreeOfAKind
[0253] '6966A' bid: 699, type: ThreeOfAKind
[0662] '69JQ6' bid: 328, type: ThreeOfAKind
[0319] '687J8' bid: 637, type: ThreeOfAKind
[0389] '677A7' bid: 035, type: ThreeOfAKind
[0828] '67366' bid: 327, type: ThreeOfAKind
[0458] '66968' bid: 757, type: ThreeOfAKind
[0423] '64766' bid: 837, type: ThreeOfAKind
[0700] '63833' bid: 470, type: ThreeOfAKind
[0327] '6376J' bid: 576, type: ThreeOfAKind
[0382] '6JK22' bid: 889, type: ThreeOfAKind
[0486] '6J9A6' bid: 661, type: ThreeOfAKind
[0025] '6J6KA' bid: 250, type: ThreeOfAKind
[0118] '5KAJJ' bid: 707, type: ThreeOfAKind
[0192] '5KK7K' bid: 116, type: ThreeOfAKind
[0278] '5Q8JQ' bid: 833, type: ThreeOfAKind
[0246] '5Q6JQ' bid: 330, type: ThreeOfAKind
[0595] '59A55' bid: 103, type: ThreeOfAKind
[0412] '595J3' bid: 180, type: ThreeOfAKind
[0568] '55T56' bid: 235, type: ThreeOfAKind
[0936] '555K9' bid: 477, type: ThreeOfAKind
[0170] '54TJ4' bid: 479, type: ThreeOfAKind
[0202] '5456J' bid: 087, type: ThreeOfAKind
[0393] '53755' bid: 982, type: ThreeOfAKind
[0428] '5JKK9' bid: 816, type: ThreeOfAKind
[0149] '5J866' bid: 132, type: ThreeOfAKind
[0731] '5JJKQ' bid: 390, type: ThreeOfAKind
[0282] '4QJ24' bid: 331, type: ThreeOfAKind
[0580] '4T777' bid: 592, type: ThreeOfAKind
[0781] '47377' bid: 200, type: ThreeOfAKind
[0127] '46J74' bid: 380, type: ThreeOfAKind
[0360] '44Q34' bid: 957, type: ThreeOfAKind
[0077] '445T4' bid: 865, type: ThreeOfAKind
[0124] '444A6' bid: 813, type: ThreeOfAKind
[0811] '42AJJ' bid: 873, type: ThreeOfAKind
[0744] '4J686' bid: 421, type: ThreeOfAKind
[0610] '4J557' bid: 975, type: ThreeOfAKind
[0069] '4J252' bid: 954, type: ThreeOfAKind
[0507] '3A2AA' bid: 170, type: ThreeOfAKind
[0746] '3KQJ3' bid: 482, type: ThreeOfAKind
[0949] '3Q63J' bid: 224, type: ThreeOfAKind
[0086] '39T33' bid: 744, type: ThreeOfAKind
[0715] '39233' bid: 242, type: ThreeOfAKind
[0083] '38666' bid: 867, type: ThreeOfAKind
[0477] '36566' bid: 774, type: ThreeOfAKind
[0793] '3558J' bid: 908, type: ThreeOfAKind
[0252] '34744' bid: 931, type: ThreeOfAKind
[0772] '333K8' bid: 199, type: ThreeOfAKind
[0591] '3339K' bid: 490, type: ThreeOfAKind
[0632] '32Q3J' bid: 300, type: ThreeOfAKind
[0178] '322T2' bid: 340, type: ThreeOfAKind
[0263] '3J822' bid: 134, type: ThreeOfAKind
[0445] '2K272' bid: 717, type: ThreeOfAKind
[0061] '2QQQ8' bid: 548, type: ThreeOfAKind
[0548] '2Q2JK' bid: 874, type: ThreeOfAKind
[0224] '2T522' bid: 563, type: ThreeOfAKind
[0368] '2TJ2A' bid: 092, type: ThreeOfAKind
[0384] '2999K' bid: 484, type: ThreeOfAKind
[0924] '29998' bid: 197, type: ThreeOfAKind
[0308] '26223' bid: 677, type: ThreeOfAKind
[0256] '24484' bid: 278, type: ThreeOfAKind
[0971] '23242' bid: 751, type: ThreeOfAKind
[0015] '23J5J' bid: 148, type: ThreeOfAKind
[0438] '22K2A' bid: 426, type: ThreeOfAKind
[0932] '2J72Q' bid: 847, type: ThreeOfAKind
[0152] 'JA884' bid: 411, type: ThreeOfAKind
[0242] 'JA5Q5' bid: 986, type: ThreeOfAKind
[0409] 'JKK73' bid: 855, type: ThreeOfAKind
[0165] 'JK833' bid: 600, type: ThreeOfAKind
[0528] 'JQK2Q' bid: 546, type: ThreeOfAKind
[0888] 'JQ92Q' bid: 152, type: ThreeOfAKind
[0079] 'JQ8Q3' bid: 078, type: ThreeOfAKind
[0611] 'JQ64J' bid: 806, type: ThreeOfAKind
[0639] 'JT757' bid: 596, type: ThreeOfAKind
[0975] 'JT3J8' bid: 692, type: ThreeOfAKind
[0314] 'J898Q' bid: 026, type: ThreeOfAKind
